ts_ms,price,recv_ms
1783359571000,63736.02,1783359571465
1783359572000,63736.01,1783359572427
1783359573000,63744,1783359573608
1783359574000,63744,1783359574530
1783359575000,63743.99,1783359575470
1783359576000,63744,1783359576425
1783359577000,63743.99,1783359577400
1783359578000,63744,1783359578491
1783359579000,63744,1783359579441
1783359580000,63743.99,1783359580420
1783359581000,63744,1783359581487
1783359582000,63743.99,1783359582671
1783359583000,63743.99,1783359583540
1783359584000,63743.99,1783359584565
1783359585000,63743.99,1783359585535
1783359586000,63744,1783359586376
1783359587000,63743.99,1783359587478
1783359588000,63743.99,1783359588456
1783359589000,63744,1783359589392
1783359590000,63753.91,1783359590505
1783359591000,63754,1783359591631
1783359592000,63754,1783359592655
1783359593000,63755.35,1783359593385
1783359594000,63759.53,1783359594415
1783359595000,63759.53,1783359595624
1783359596000,63759.54,1783359596648
1783359597000,63759.53,1783359597380
1783359598000,63759.54,1783359598548
1783359599000,63759.54,1783359599495
1783359600000,63759.54,1783359600440
1783359601000,63759.53,1783359601511
1783359602000,63759.53,1783359602593
1783359603000,63756,1783359603616
1783359604000,63767.99,1783359604602
1783359605000,63761.34,1783359605612
1783359606000,63761.34,1783359606353
1783359607000,63760,1783359607433
1783359608000,63760,1783359608417
1783359609000,63756.01,1783359609399
1783359610000,63756,1783359610410
1783359611000,63756,1783359611448
1783359612000,63754.01,1783359612388
1783359613000,63754.01,1783359613394
1783359614000,63753.22,1783359614544
1783359615000,63753,1783359615571
1783359616000,63753.01,1783359616524
1783359617000,63753,1783359617461
1783359618000,63753.01,1783359618574
1783359619000,63753.01,1783359619538
1783359620000,63759.99,1783359620487
1783359621000,63760,1783359621460
1783359622000,63759.99,1783359622830
1783359623000,63759.99,1783359623432
1783359624000,63756,1783359624515
1783359625000,63756,1783359625428
1783359626000,63756.01,1783359626455
1783359627000,63756.01,1783359627524
1783359628000,63756.01,1783359628497
1783359629000,63756.01,1783359629520
1783359630000,63756.01,1783359630646
1783359631000,63756,1783359631463
1783359632000,63756.01,1783359632477
1783359633000,63755.98,1783359633577
1783359634000,63755.31,1783359634460
1783359635000,63744.63,1783359635455
1783359636000,63744.63,1783359636380
1783359637000,63744.62,1783359637512
1783359638000,63743.99,1783359638452
1783359639000,63740,1783359639382
1783359640000,63740,1783359640429
1783359641000,63740,1783359641500
1783359642000,63738,1783359642424
1783359643000,63738.01,1783359643465
1783359644000,63738.01,1783359644572
1783359645000,63736.01,1783359645360
1783359646000,63736,1783359646450
1783359647000,63734.05,1783359647361
1783359648000,63734.04,1783359648419
1783359649000,63734.04,1783359649512
1783359650000,63734.04,1783359650424
1783359651000,63734.04,1783359651374
1783359652000,63750.21,1783359652526
1783359653000,63751.84,1783359653387
1783359654000,63751.84,1783359654358
1783359655000,63751.83,1783359655380
1783359656000,63751.83,1783359656555
1783359657000,63751.83,1783359657413
1783359658000,63751.83,1783359658396
1783359659000,63751.84,1783359659523
1783359660000,63751.84,1783359660407
1783359661000,63751.83,1783359661344
1783359662000,63740.4,1783359662495
1783359663000,63740.41,1783359663414
1783359664000,63740.4,1783359664390
1783359665000,63740.4,1783359665462
1783359666000,63740.41,1783359666691
1783359667000,63740.4,1783359667408
1783359668000,63740.4,1783359668331
1783359669000,63740.41,1783359669364
1783359670000,63740.4,1783359670411
1783359671000,63740.4,1783359671425
1783359672000,63740,1783359672479
1783359673000,63740,1783359673552
1783359674000,63739.99,1783359674528
1783359675000,63740,1783359675451
1783359676000,63738.01,1783359676350
1783359677000,63738.01,1783359677443
1783359678000,63738.01,1783359678376
1783359679000,63738.01,1783359679397
1783359680000,63738,1783359680370
1783359681000,63738,1783359681395
1783359682000,63738,1783359682618
1783359683000,63738,1783359683587
1783359684000,63738,1783359684407
1783359685000,63738.01,1783359685415
1783359686000,63738,1783359686455
1783359687000,63736,1783359687378
1783359688000,63736.01,1783359688406
1783359689000,63736,1783359689527
1783359690000,63736.01,1783359690448
1783359691000,63736,1783359691369
1783359692000,63736,1783359692497
1783359693000,63736.01,1783359693420
1783359694000,63736.01,1783359694317
1783359695000,63736.01,1783359695468
1783359696000,63736,1783359696461
1783359697000,63736,1783359697417
1783359698000,63736.01,1783359698386
1783359699000,63736.01,1783359699314
1783359700000,63736.01,1783359700381
1783359701000,63736,1783359701378
1783359702000,63736.01,1783359702430
1783359703000,63732,1783359703559
1783359704000,63728.62,1783359704477
1783359705000,63728.62,1783359705321
1783359706000,63728.62,1783359706433
1783359707000,63728.62,1783359707438
1783359708000,63726.01,1783359708367
1783359709000,63726.01,1783359709444
1783359710000,63726.01,1783359710437
1783359711000,63729.2,1783359711646
1783359712000,63729.2,1783359712427
1783359713000,63729.2,1783359713417
1783359714000,63729.21,1783359714314
1783359715000,63729.2,1783359715394
1783359716000,63726.03,1783359716464
1783359717000,63726.02,1783359717430
1783359718000,63726.03,1783359718359
1783359719000,63726.03,1783359719338
1783359720000,63726.02,1783359720452
1783359721000,63726.02,1783359721472
1783359722000,63726.03,1783359722400
1783359723000,63726.02,1783359723376
1783359724000,63726.03,1783359724495
1783359725000,63726.02,1783359725422
1783359726000,63726.02,1783359726413
1783359727000,63726.02,1783359727503
1783359728000,63726.02,1783359728386
1783359729000,63726.03,1783359729365
1783359730000,63726.03,1783359730401
1783359731000,63726.02,1783359731391
1783359732000,63726.02,1783359732960
1783359733000,63726.02,1783359733575
1783359734000,63726.03,1783359734383
1783359735000,63726.03,1783359735410
1783359736000,63726.03,1783359736376
1783359737000,63726.03,1783359737406
1783359738000,63726.03,1783359738315
1783359739000,63726.03,1783359739377
1783359740000,63726.03,1783359740418
1783359741000,63726.03,1783359741347
1783359742000,63726.03,1783359742345
1783359743000,63726.02,1783359743376
1783359744000,63721.46,1783359744380
1783359745000,63714.7,1783359745412
1783359746000,63714.71,1783359746511
1783359747000,63714.71,1783359747590
1783359748000,63714,1783359748408
1783359749000,63696.01,1783359749385
1783359750000,63696.01,1783359750462
1783359751000,63686.01,1783359751438
1783359752000,63686,1783359752457
1783359753000,63686.01,1783359753632
1783359754000,63686,1783359754447
1783359755000,63686,1783359755578
1783359756000,63664.52,1783359756374
1783359757000,63664.46,1783359757390
1783359758000,63664.47,1783359758415
1783359759000,63666.66,1783359759570
1783359760000,63666.65,1783359760593
1783359761000,63666.66,1783359761355
1783359762000,63664.46,1783359762344
1783359763000,63664.47,1783359763417
1783359764000,63664.47,1783359764389
1783359765000,63664.46,1783359765381
1783359766000,63664.46,1783359766395
1783359767000,63664.46,1783359767505
1783359768000,63664.47,1783359768690
1783359769000,63664.46,1783359769363
1783359770000,63666.66,1783359770628
1783359771000,63677.99,1783359771447
1783359772000,63677.99,1783359772585
1783359773000,63677.99,1783359773597
1783359774000,63677.99,1783359774572
1783359775000,63679.96,1783359775757
1783359776000,63679.96,1783359776514
1783359777000,63679.95,1783359777605
1783359778000,63679.95,1783359778586
1783359779000,63679.95,1783359779642
1783359780000,63679.47,1783359780497
1783359781000,63681.65,1783359781535
1783359782000,63681.64,1783359782515
1783359783000,63688,1783359783634
1783359784000,63688,1783359784471
1783359785000,63693.65,1783359785581
1783359786000,63697.99,1783359786600
1783359787000,63698,1783359787550
1783359788000,63701.99,1783359788516
1783359789000,63701.99,1783359789526
1783359790000,63702.14,1783359790494
1783359791000,63702.14,1783359791624
1783359792000,63711.68,1783359792545
1783359793000,63707.42,1783359793411
1783359794000,63707.41,1783359794639
1783359795000,63707.42,1783359795513
1783359796000,63707.42,1783359796546
1783359797000,63707.42,1783359797527
1783359798000,63707.41,1783359798688
1783359799000,63707.42,1783359799609
1783359800000,63707.42,1783359800412
1783359801000,63707.42,1783359801609
1783359802000,63707.42,1783359802578
1783359803000,63707.42,1783359803706
1783359804000,63707.42,1783359804527
1783359805000,63707.42,1783359805445
1783359806000,63707.42,1783359806482
1783359807000,63707.42,1783359807454
1783359808000,63707.41,1783359808439
1783359809000,63707.42,1783359809542
1783359810000,63711.79,1783359810672
1783359811000,63716.36,1783359811581
1783359812000,63716.37,1783359812518
1783359813000,63716.37,1783359813605
1783359814000,63716.37,1783359814534
1783359815000,63716.37,1783359815544
1783359816000,63716.37,1783359816609
1783359817000,63716.36,1783359817529
1783359818000,63714.43,1783359818409
1783359819000,63714.43,1783359819498
1783359820000,63714.43,1783359820503
1783359821000,63710.83,1783359821523
1783359822000,63710.83,1783359822598
1783359823000,63710.83,1783359823570
1783359824000,63710.82,1783359824543
1783359825000,63710.83,1783359825618
1783359826000,63710.83,1783359826438
1783359827000,63710.83,1783359827501
1783359828000,63710.83,1783359828690
1783359829000,63710.83,1783359829509
1783359830000,63710.83,1783359830434
1783359831000,63710.83,1783359831691
1783359832000,63710.82,1783359832515
1783359833000,63712.86,1783359833435
1783359834000,63714,1783359834634
1783359835000,63720,1783359835417
1783359836000,63720,1783359836470
1783359837000,63719.99,1783359837617
1783359838000,63719.99,1783359838487
1783359839000,63719.99,1783359839682
1783359840000,63720,1783359840735
1783359841000,63716.01,1783359841401
1783359842000,63706.01,1783359842637
1783359843000,63706.01,1783359843390
