recv_ms,asset,bid,ask
1783188513053,100549640851,0.17,0.33
1783188513053,140303448849,0.67,0.83
1783188513254,140303448849,0.7,0.83
1783188513254,100549640851,0.17,0.3
1783188513332,140303448849,0.72,0.83
1783188513332,100549640851,0.17,0.28
1783188513342,100549640851,0.15,0.28
1783188513342,140303448849,0.72,0.85
1783188513703,100549640851,0.14,0.28
1783188513703,140303448849,0.72,0.86
1783188513740,140303448849,0.75,0.86
1783188513740,100549640851,0.14,0.25
1783188513788,140303448849,0.77,0.86
1783188513788,100549640851,0.14,0.23
1783188514000,140303448849,0.77,0.86
1783188514000,100549640851,0.14,0.23
1783188514004,100549640851,0.15,0.23
1783188514004,140303448849,0.77,0.85
1783188514115,140303448849,0.77,0.84
1783188514115,100549640851,0.16,0.23
1783188514130,140303448849,0.83,0.84
1783188514130,100549640851,0.16,0.17
1783188514135,140303448849,0.77,0.84
1783188514135,100549640851,0.16,0.23
1783188514179,100549640851,0.2,0.23
1783188514179,140303448849,0.77,0.8
1783188514283,140303448849,0.76,0.8
1783188514283,100549640851,0.2,0.24
1783188514322,100549640851,0.22,0.24
1783188514322,140303448849,0.76,0.78
1783188514322,100549640851,0.2,0.24
1783188514322,140303448849,0.76,0.8
1783188514387,140303448849,0.79,0.8
1783188514387,100549640851,0.2,0.21
1783188515001,140303448849,0.79,0.8
1783188515001,100549640851,0.2,0.21
1783188515618,100549640851,0.19,0.21
1783188515618,140303448849,0.79,0.81
1783188515630,140303448849,0.8,0.81
1783188515630,100549640851,0.19,0.2
1783188516000,140303448849,0.8,0.81
1783188516000,100549640851,0.19,0.2
1783188516101,140303448849,0.78,0.81
1783188516101,100549640851,0.19,0.22
1783188516109,100549640851,0.2,0.22
1783188516109,140303448849,0.78,0.8
1783188516114,100549640851,0.21,0.22
1783188516114,140303448849,0.78,0.79
1783188516124,140303448849,0.77,0.79
1783188516124,100549640851,0.21,0.23
1783188516162,140303448849,0.78,0.79
1783188516162,100549640851,0.21,0.22
1783188516165,140303448849,0.77,0.79
1783188516165,100549640851,0.21,0.23
1783188516170,100549640851,0.22,0.23
1783188516170,140303448849,0.77,0.78
1783188516205,140303448849,0.76,0.78
1783188516205,100549640851,0.22,0.24
1783188516215,100549640851,0.23,0.24
1783188516215,140303448849,0.76,0.77
1783188516974,100549640851,0.2,0.24
1783188516974,140303448849,0.76,0.8
1783188516995,140303448849,0.77,0.8
1783188516995,100549640851,0.2,0.23
1783188516995,140303448849,0.79,0.8
1783188516995,100549640851,0.2,0.21
1783188517000,140303448849,0.79,0.8
1783188517000,100549640851,0.2,0.21
1783188517470,100549640851,0.19,0.21
1783188517470,140303448849,0.79,0.81
1783188517552,140303448849,0.8,0.81
1783188517552,100549640851,0.19,0.2
1783188518007,140303448849,0.8,0.81
1783188518007,100549640851,0.19,0.2
1783188518373,100549640851,0.18,0.2
1783188518373,140303448849,0.8,0.82
1783188518384,140303448849,0.81,0.82
1783188518384,100549640851,0.18,0.19
1783188519010,100549640851,0.18,0.19
1783188519010,140303448849,0.81,0.82
1783188519329,100549640851,0.17,0.19
1783188519329,140303448849,0.81,0.83
1783188519329,140303448849,0.82,0.83
1783188519329,100549640851,0.17,0.18
1783188520006,100549640851,0.17,0.18
1783188520006,140303448849,0.82,0.83
1783188521003,140303448849,0.82,0.83
1783188521003,100549640851,0.17,0.18
1783188521511,140303448849,0.81,0.83
1783188521511,100549640851,0.17,0.19
1783188521544,140303448849,0.8,0.83
1783188521544,100549640851,0.17,0.2
1783188521555,100549640851,0.18,0.2
1783188521555,140303448849,0.8,0.82
1783188521571,100549640851,0.19,0.2
1783188521571,140303448849,0.8,0.81
1783188522037,100549640851,0.19,0.2
1783188522037,140303448849,0.8,0.81
1783188522825,140303448849,0.79,0.81
1783188522825,100549640851,0.19,0.21
1783188522852,140303448849,0.78,0.81
1783188522852,100549640851,0.19,0.22
1783188522884,140303448849,0.75,0.81
1783188522884,100549640851,0.19,0.25
1783188522931,100549640851,0.21,0.25
1783188522931,140303448849,0.75,0.79
1783188522944,100549640851,0.22,0.25
1783188522944,140303448849,0.75,0.78
1783188522982,140303448849,0.74,0.78
1783188522982,100549640851,0.22,0.26
1783188523017,100549640851,0.22,0.26
1783188523017,140303448849,0.74,0.78
1783188523095,100549640851,0.25,0.26
1783188523095,140303448849,0.74,0.75
1783188523359,140303448849,0.71,0.75
