slug,t0_ms,end_ms,token_up,token_down
btc-updown-5m-1783188300,1783188300000,1783188600000,140303448849,100549640851
btc-updown-5m-1783188600,1783188600000,1783188900000,795917438785,567845154378
btc-updown-5m-1783188900,1783188900000,1783189200000,299797178243,110910258353
btc-updown-5m-1783189200,1783189200000,1783189500000,103078439882,711123895995
btc-updown-5m-1783189500,1783189500000,1783189800000,371915810069,158309100565
btc-updown-5m-1783189800,1783189800000,1783190100000,279264859358,966525335446
btc-updown-5m-1783190100,1783190100000,1783190400000,366695206252,111786484069
btc-updown-5m-1783190400,1783190400000,1783190700000,171592721325,107948988769
btc-updown-5m-1783190700,1783190700000,1783191000000,549563448742,110555213463
btc-updown-5m-1783191000,1783191000000,1783191300000,721192260961,178430505099
btc-updown-5m-1783191300,1783191300000,1783191600000,891758001899,728774972738
btc-updown-5m-1783191600,1783191600000,1783191900000,560259226457,637261308692
btc-updown-5m-1783191900,1783191900000,1783192200000,926095118039,328899179765
btc-updown-5m-1783192200,1783192200000,1783192500000,584796948103,308658348658
btc-updown-5m-1783192500,1783192500000,1783192800000,255164216149,102930029651
btc-updown-5m-1783193100,1783193100000,1783193400000,957507395470,515240734152
btc-updown-5m-1783193400,1783193400000,1783193700000,741147508020,781580667290
btc-updown-5m-1783193700,1783193700000,1783194000000,583545434528,835836678012
btc-updown-5m-1783194000,1783194000000,1783194300000,839330432730,864598503017
btc-updown-5m-1783194300,1783194300000,1783194600000,567892586996,350876946087
btc-updown-5m-1783194600,1783194600000,1783194900000,839419078914,808299221232
btc-updown-5m-1783194900,1783194900000,1783195200000,501380497355,285569660572
btc-updown-5m-1783199400,1783199400000,1783199700000,770692230734,109240456572
btc-updown-5m-1783199700,1783199700000,1783200000000,106795186445,908458284621
btc-updown-5m-1783200000,1783200000000,1783200300000,584282962162,281366620863
btc-updown-5m-1783200300,1783200300000,1783200600000,865975214863,106630464963
btc-updown-5m-1783200600,1783200600000,1783200900000,130760026297,774249289647
btc-updown-5m-1783200900,1783200900000,1783201200000,579464954841,366693825006
btc-updown-5m-1783201200,1783201200000,1783201500000,474773847506,425567717379
btc-updown-5m-1783201500,1783201500000,1783201800000,270050614762,561707714288
btc-updown-5m-1783203300,1783203300000,1783203600000,234387818409,390233354007
btc-updown-5m-1783203600,1783203600000,1783203900000,163123453780,169184416334
btc-updown-5m-1783203900,1783203900000,1783204200000,681541512849,895748118867
btc-updown-5m-1783204200,1783204200000,1783204500000,465002497524,107403423622
btc-updown-5m-1783204500,1783204500000,1783204800000,787929151604,211676798332
btc-updown-5m-1783204800,1783204800000,1783205100000,467428381798,112843576145
btc-updown-5m-1783205100,1783205100000,1783205400000,603704273545,114642861861
btc-updown-5m-1783205400,1783205400000,1783205700000,191735464557,332496795216
btc-updown-5m-1783205700,1783205700000,1783206000000,841313819485,380325738037
btc-updown-5m-1783206000,1783206000000,1783206300000,696874570024,375437288754
btc-updown-5m-1783206300,1783206300000,1783206600000,152841431358,903615162747
btc-updown-5m-1783206600,1783206600000,1783206900000,145171363522,926107694825
